,sepal_length,sepal_width,petal_length,petal_width,species,Clustering Result
96,5.1,3.8,1.5,0.3,Iris-setosa,1
97,5.4,3.4,1.7,0.2,Iris-setosa,1
98,5.1,3.7,1.5,0.4,Iris-setosa,1
99,4.6,3.6,1.0,0.2,Iris-setosa,1
100,5.5,2.3,4.0,1.3,Iris-versicolor,0
101,6.9,3.1,4.9,1.5,Iris-versicolor,0
102,7.0,3.2,4.7,1.4,Iris-versicolor,0
103,5.7,2.8,4.1,1.3,Iris-versicolor,0
104,6.4,2.9,4.3,1.3,Iris-versicolor,0
105,6.1,2.8,4.7,1.2,Iris-versicolor,0
106,6.3,2.5,4.9,1.5,Iris-versicolor,0
107,6.1,2.8,4.0,1.3,Iris-versicolor,0
108,5.9,3.2,4.8,1.8,Iris-versicolor,0
109,5.6,2.5,3.9,1.1,Iris-versicolor,0
110,6.2,2.2,4.5,1.5,Iris-versicolor,0
111,5.8,2.7,4.1,1.0,Iris-versicolor,0
112,5.6,3.0,4.5,1.5,Iris-versicolor,0
113,6.7,3.1,4.4,1.4,Iris-versicolor,0
114,5.6,2.9,3.6,1.3,Iris-versicolor,0
115,6.1,2.9,4.7,1.4,Iris-versicolor,0
116,6.0,2.2,4.0,1.0,Iris-versicolor,0
117,5.9,3.0,4.2,1.5,Iris-versicolor,0
118,5.0,2.0,3.5,1.0,Iris-versicolor,0
119,5.2,2.7,3.9,1.4,Iris-versicolor,0
120,6.6,2.9,4.6,1.3,Iris-versicolor,0
121,4.9,2.4,3.3,1.0,Iris-versicolor,0
122,6.3,3.3,4.7,1.6,Iris-versicolor,0
123,5.7,2.8,4.5,1.3,Iris-versicolor,0
124,6.5,2.8,4.6,1.5,Iris-versicolor,0
125,6.4,3.2,4.5,1.5,Iris-versicolor,0
126,6.8,2.8,4.8,1.4,Iris-versicolor,0
127,6.7,3.0,5.0,1.7,Iris-versicolor,0
128,5.5,2.5,4.0,1.3,Iris-versicolor,0
129,5.1,2.5,3.0,1.1,Iris-versicolor,0
130,6.2,2.9,4.3,1.3,Iris-versicolor,0
131,5.7,2.9,4.2,1.3,Iris-versicolor,0
132,5.7,3.0,4.2,1.2,Iris-versicolor,0
133,5.6,2.7,4.2,1.3,Iris-versicolor,0
134,5.0,2.3,3.3,1.0,Iris-versicolor,0
135,5.8,2.6,4.0,1.2,Iris-versicolor,0
136,6.1,3.0,4.6,1.4,Iris-versicolor,0
137,5.5,2.6,4.4,1.2,Iris-versicolor,0
138,5.6,3.0,4.1,1.3,Iris-versicolor,0
139,6.0,2.9,4.5,1.5,Iris-versicolor,0
140,6.3,2.3,4.4,1.3,Iris-versicolor,0
141,6.7,3.1,4.7,1.5,Iris-versicolor,0
142,6.0,3.4,4.5,1.6,Iris-versicolor,0
143,5.4,3.0,4.5,1.5,Iris-versicolor,0
144,6.0,2.7,5.1,1.6,Iris-versicolor,0
145,5.8,2.7,3.9,1.2,Iris-versicolor,0
146,5.5,2.4,3.7,1.0,Iris-versicolor,0
147,5.5,2.4,3.8,1.1,Iris-versicolor,0
148,5.7,2.6,3.5,1.0,Iris-versicolor,0
149,6.6,3.0,4.4,1.4,Iris-versicolor,0
